Id;Marker;X;Y;Z
0;0;-0.28867513459481e+00;0.50000000000000e+00;0.755761314076169e+00
1;0;-0.28867513459481e+00;-0.50000000000000e+00;0.755761314076169e+00
2;0;0.577350269189629e+00;0.00000000000000e+00;0.755761314076169e+00
3;0;-0.93417235896272e+00;0.00000000000000e+00;0.178411044886549e+00
4;0;0.46708617948136e+00;-0.80901699437495e+00;0.178411044886539e+00
5;0;0.46708617948136e+00;0.80901699437495e+00;0.178411044886549e+00
6;0;0.46708617948136e+00;0.80901699437495e+00;0.178411044886549e+00
7;0;-0.46708617948136e+00;0.80901699437495e+00;-0.178411044886541e+00
8;0;-0.46708617948136e+00;-0.80901699437495e+00;-0.178411044886551e+00
9;0;0.93417235896272e+00;0.000000000000e+00;-0.178411044886541e+00
10;0;-0.57735026918963e+00;0.00000000000000e+00;-0.755761314076171e+00
11;0;0.28867513459481e+00;-0.50000000000000e+00;-0.755761314076171e+00
12;0;0.28867513459481e+00;0.50000000000000e+00;-0.755761314076171e+00




